"","tool","population","mode","metric","lower","upper"
"1","CA125_22_ukctocs","All",0.665,"sensitivity",0.58115147287354,0.739584657669397
"2","CA125_22_ukctocs","All",0.892,"specificity",0.889263261232686,0.894677113870392
"3","CA125_30_ukctocs","All",0.484,"sensitivity",0.4007168568048,0.568181457809218
"4","CA125_30_ukctocs","All",0.959,"specificity",0.95723549279132,0.960694691321723
"5","CA125_35_ukctocs","All",0.413,"sensitivity",0.332910067406014,0.49797451830771
"6","CA125_35_ukctocs","All",0.975,"specificity",0.973601863288077,0.976325887155704
"7","DELFI-Pro","All",0.81154689608637,"sensitivity",0.720865535810589,0.877764300357077
"8","DELFI-Pro","All",0.994535519125683,"specificity",0.969587891382821,0.999038431850194
"9","CA125_22_jhu","All",0.916264218237902,"sensitivity",0.842654302311492,0.95718733917652
"10","CA125_22_jhu","All",0.89010989010989,"specificity",0.83636339682405,0.927728754093718
"11","CA125_30_jhu","All",0.859639483323694,"sensitivity",0.775257493873449,0.915781087110526
"12","CA125_30_jhu","All",0.972527472527473,"specificity",0.9373105524688,0.988209517656947
"13","CA125_35_jhu","All",0.823401050703682,"sensitivity",0.734085173738336,0.887322134218041
"14","CA125_35_jhu","All",0.983516483516483,"specificity",0.952665242811908,0.994378549874903
"15","HE4_70_Jacob","All",0.849992481203008,"sensitivity",0.734305728379779,0.920744443645458
"16","HE4_70_Jacob","All",0.818,"specificity",0.655912920733895,0.913771360829106
"17","HE4_70_jhu","All",0.885501012145749,"sensitivity",0.805482262784385,0.935248621208444
"18","HE4_70_jhu","All",0.796703296703297,"specificity",0.732384549670335,0.84875595947839
"19","HE4_150_jhu","All",0.613025351841141,"sensitivity",0.511976929699618,0.705198554008933
"20","HE4_150_jhu","All",0.972527472527473,"specificity",0.9373105524688,0.988209517656947
"21","CA125_22_ukctocs","All",0.75,"adherence",0.6,0.9
"22","CA125_30_ukctocs","All",0.75,"adherence",0.6,0.9
"23","CA125_35_ukctocs","All",0.75,"adherence",0.6,0.9
"24","DELFI-Pro","All",0.75,"adherence",0.6,0.9
"25","CA125_22_jhu","All",0.75,"adherence",0.6,0.9
"26","CA125_30_jhu","All",0.75,"adherence",0.6,0.9
"27","CA125_35_jhu","All",0.75,"adherence",0.6,0.9
"28","HE4_70_Jacob","All",0.75,"adherence",0.6,0.9
"29","HE4_70_jhu","All",0.75,"adherence",0.6,0.9
"30","HE4_150_jhu","All",0.75,"adherence",0.6,0.9
